Sample Number (10 samples per second),t (c)
512,25.5
513,25.5
514,25.56
515,25.56
516,25.5
517,25.56
518,25.56
519,25.5
520,25.56
521,25.5
522,25.5
523,25.5
524,25.5
525,25.5
526,25.5
527,25.5
528,25.5
529,25.5
530,25.5
531,25.5
532,25.5
533,25.5
534,25.5
535,25.5
536,25.5
537,25.5
538,25.5
539,25.5
540,25.5
541,25.5
542,25.5
543,25.5
544,25.5
545,25.5
546,25.5
547,25.5
548,25.5
549,25.5
550,25.5
551,25.5
552,25.5
553,25.5
554,25.5
555,25.5
556,25.43
557,25.5
558,25.5
559,25.5
560,25.43
561,25.43
562,25.43
563,25.43
564,25.43
565,25.43
566,25.43
567,25.43
568,25.43
569,25.43
570,25.43
571,25.43
572,25.43
573,25.43
574,25.43
575,25.43
576,25.43
577,25.43
578,25.43
579,25.43
580,25.43
581,25.43
582,25.43
583,25.43
584,25.43
585,25.43
586,25.43
587,25.43
588,25.369999
589,25.43
590,25.369999
591,25.369999
592,25.369999
593,25.369999
594,25.369999
595,25.369999
596,25.369999
597,25.369999
598,25.369999
599,25.369999
600,25.369999
601,25.369999
602,25.369999
603,25.369999
604,25.369999
605,25.369999
606,25.369999
607,25.369999
608,25.369999
609,25.369999
610,25.369999
611,25.369999
612,25.369999
613,25.369999
614,25.369999
615,25.369999
616,25.369999
617,25.369999
618,25.369999
619,25.369999
620,25.369999
621,25.369999
622,25.31
623,25.31
624,25.369999
625,25.31
626,25.31
627,25.31
628,25.31
629,25.31
630,25.31
631,25.31
632,25.31
633,25.31
634,25.31
635,25.31
636,25.31
637,25.31
638,25.31
639,25.31
640,25.31
641,25.31
642,25.31
643,25.31
644,25.31
645,25.31
646,25.31
647,25.31
648,25.31
649,25.25
650,25.31
651,25.31
652,25.31
653,25.31
654,25.25
655,25.25
656,25.25
657,25.25
658,25.25
659,25.25
660,25.25
661,25.25
662,25.25
663,25.25
664,25.25
665,25.25
666,25.25
667,25.25
668,25.25
669,25.25
670,25.25
671,25.25
672,25.25
673,25.25
674,25.25
675,25.25
676,25.25
677,25.25
678,25.25
679,25.25
680,25.25
681,25.18
682,25.25
683,25.18
684,25.18
685,25.25
686,25.18
687,25.18
688,25.18
689,25.18
690,25.18
691,25.18
692,25.18
693,25.18
694,25.18
695,25.18
696,25.18
697,25.18
698,25.18
699,25.18
700,25.18
701,25.18
702,25.18
703,25.18
704,25.18
705,25.18
706,25.18
707,25.18
708,25.18
709,25.18
710,25.18
711,25.18
712,25.18
713,25.18
714,25.18
715,25.18
716,25.119999
717,25.18
718,25.119999
719,25.119999
720,25.119999
721,25.119999
722,25.119999
723,25.119999
724,25.119999
725,25.119999
